area,building,direction,elevator,floor,garden,heating,_id,layout,region,renovation,stairway,structure,totalPrice,type,unitPrice,usage,year
93.0,板塔结合,南,有,高楼层 (共30层),长安,集中供暖,101117686545,3室2厅1厨1卫,长安,其他,两梯四户,钢混结构,165.0,,17742.0,普通住宅,
129.0,板塔结合,南 北,有,中楼层 (共33层),长安,集中供暖,101117686563,3室1厅1厨2卫,长安,其他,两梯四户,未知结构,230.0,平层,17830.0,普通住宅,
99.16,板塔结合,南 北,有,中楼层 (共31层),曲江,集中供暖,101117686600,3室2厅1厨1卫,雁塔,其他,两梯四户,钢混结构,195.0,平层,19666.0,普通住宅,
99.0,塔楼,南 北,有,高楼层 (共26层),曲江,集中供暖,101117686611,3室2厅1厨1卫,雁塔,其他,三梯八户,钢混结构,149.0,,15051.0,普通住宅,
77.0,板塔结合,南 北,有,中楼层 (共34层),曲江,集中供暖,101117686628,2室1厅1厨1卫,雁塔,其他,两梯四户,钢混结构,170.0,,22078.0,普通住宅,
110.0,板楼,南 北,无,中楼层 (共7层),城西,集中供暖,101117686648,3室2厅1厨1卫,莲湖,其他,一梯两户,钢混结构,128.0,,11637.0,普通住宅,
122.9,板塔结合,南 北,有,中楼层 (共27层),城北,自供暖,101117686673,3室2厅1厨2卫,莲湖,其他,两梯四户,钢混结构,155.0,,12612.0,普通住宅,
79.0,板楼,南 北,有,低楼层 (共33层),城西,集中供暖,101117686698,2室2厅1厨1卫,莲湖,其他,一梯两户,钢混结构,145.0,,18355.0,普通住宅,
110.0,板塔结合,南 北,有,低楼层 (共21层),浐灞周边,集中供暖,101117686701,3室2厅1厨2卫,灞桥,其他,两梯四户,钢混结构,155.0,,14091.0,普通住宅,
53.0,板塔结合,南 北,,中楼层 (共7层),城内,,101117686707,2室1厅1厨1卫,新城区,简装,一梯两户,混合结构,85.0,,16038.0,普通住宅,
59.0,塔楼,南,有,低楼层 (共32层),黄雁村,集中供暖,101117686712,2室1厅1厨1卫,碑林,其他,三梯九户,钢混结构,159.0,,26950.0,普通住宅,
